name,chain,lat,lon,address,source_url
Uno-X 7-Eleven Helleland,Uno-X,58.52727234648749,6.127138630182285,"Sørlandsveien 527, 4376, HELLELAND",https://unox.no/finn-uno-x/lokasjon/10500177
CIRCLE K SOGNDAL,Circle K,61.232536,7.118118,"Årøyvegen 8, 6856, Sogndal",https://www.circlek.no/station/52206
CIRCLE K BAGN,Circle K,60.822754,9.553247,"Storebruvegen 5, 2930, Bagn",https://www.circlek.no/station/51532
Uno-X 7-Eleven Kvitfjelltunet,Uno-X,61.453625,10.188223,"Stasjonsvegen 13, 2634, Fåvang",https://unox.no/finn-uno-x/lokasjon/10500191
CIRCLE K TRUCK SIGERFJORD,Circle K,68.667482,15.475858,"Sigerfjordveien 2, 8406, Sortland",https://www.circlek.no/station/55619
CIRCLE K AUTOMAT GRANVIN,Circle K,60.5288,6.726501,"Hardangervegen 2509, 5736, Granvin",https://www.circlek.no/station/57066
YX Stårheim,YX,61.9186,5.76151,"Nordfjordvegen 5819, 6777 STÅRHEIM",https://www.yx.no/stasjon/yx-starheim-10400096
CIRCLE K AUTOMAT FIANE,Circle K,58.618504,8.878707,"Holtsveien 310, 4905, TVEDESTRAND",https://www.circlek.no/station/55633
Uno-X Hylla,Uno-X,64.470504,11.542081,"Skagevegen 5, 7805, Namsos",https://unox.no/finn-uno-x/lokasjon/10500179
CIRCLE K AUTOMAT HITRA,Circle K,63.520947,9.107723,"Sandstad, 7246, Sandstad",https://www.circlek.no/station/55484
YX Vevelstad (automat),YX,65.7014,12.442,"Forvikveien 130, 8976 VEVELSTAD",https://www.yx.no/stasjon/yx-vevelstad-automat-10400541
CIRCLE K TRUCK BØSTAD,Circle K,68.272313,13.970865,"Grundstadveien 30, 8360, BØSTAD",https://www.circlek.no/station/55649
YX Surnadal,YX,62.9724,8.72248,"Skeivegen 8, 6650 SURNADAL",https://www.yx.no/stasjon/yx-surnadal-10400103
CIRCLE K AUTOMAT HATLESTRAND,Circle K,60.06055,5.914788,"Hatlestrandsvegen 646, 5635, Hatlestrand",https://www.circlek.no/station/52169
CIRCLE K E6 BERKÅK,Circle K,62.8298,10.010887,"Parallellveien 10, 7391, Rennebu",https://www.circlek.no/station/52565
Uno-X 7-Eleven Bjørkelangen,Uno-X,59.88754469,11.56125207,"Kompveien 2664, Bliksrud, 1940, BJØRKELANGEN",https://unox.no/finn-uno-x/lokasjon/10500155
YX Tolga,YX,62.4096,10.9909,"Rørosveien 2051, 2540 TOLGA",https://www.yx.no/stasjon/yx-tolga-10400425
YX Dalen øst,YX,59.4458,7.98419,"Storvegen 227, 3880 DALEN",https://www.yx.no/stasjon/yx-dalen-st-10400861
CIRCLE K AUTOMAT EIDSBOTN,Circle K,60.873879,5.120899,"Gulafjordvegen 631, 5960, Dalsøyra",https://www.circlek.no/station/52155
CIRCLE K ÅL,Circle K,60.62872,8.561739,"Sundrejordet 2, 3570, Ål",https://www.circlek.no/station/53956
YX Hallingby,YX,60.2769,10.1891,"Moseveien 5, 3525 HALLINGBY",https://www.yx.no/stasjon/yx-hallingby-10400520
CIRCLE K AUTOMAT OLDEN,Circle K,61.841736,6.811403,"Naustgrenda 26, 6788, Olden",https://www.circlek.no/station/54622
YX Åfjord,YX,63.9649,10.2167,"Åvegen 7, 7170 ÅFJORD",https://www.yx.no/stasjon/yx-afjord-10400112
CIRCLE K RØRVIK,Circle K,64.862625,11.232574,"Betzy Bergs gate 2A, 7900, Rørvik",https://www.circlek.no/station/52681
YX Veggli,YX,60.0416,9.15496,"Numedalsvegen 5933, 3628 VEGGLI",https://www.yx.no/stasjon/yx-veggli-10400532
